filename	measure	score
PMC4746198.txt	automated_readability_index	20.5
PMC4746198.txt	coleman_liau_index	15.68
PMC4746199.txt	flesch_reading_ease	31.62
PMC4746199.txt	gunning_fog	17.18
PMC4746199.txt	automated_readability_index	18.1
PMC4746199.txt	coleman_liau_index	17.0
PMC4746200.txt	flesch_reading_ease	20.05
PMC4746200.txt	gunning_fog	21.25
PMC4746200.txt	automated_readability_index	23.5
PMC4746200.txt	coleman_liau_index	16.49
PMC4746201.txt	flesch_reading_ease	37.3
PMC4746201.txt	gunning_fog	13.64
PMC4746201.txt	automated_readability_index	15.0
PMC4746201.txt	coleman_liau_index	15.48
PMC4752943.txt	flesch_reading_ease	30.94
PMC4752943.txt	gunning_fog	17.71
PMC4752943.txt	automated_readability_index	21.2
PMC4752943.txt	coleman_liau_index	15.27
PMC4752944.txt	flesch_reading_ease	20.35
PMC4752944.txt	gunning_fog	19.25
PMC4752944.txt	automated_readability_index	24.3
PMC4752944.txt	coleman_liau_index	17.36
PMC4752945.txt	flesch_reading_ease	35.41
PMC4752945.txt	gunning_fog	16.71
PMC4752945.txt	automated_readability_index	19.8
PMC4752945.txt	coleman_liau_index	15.73
PMC4752946.txt	flesch_reading_ease	30.8
PMC4752946.txt	gunning_fog	16.18
PMC4752946.txt	automated_readability_index	17.9
PMC4752946.txt	coleman_liau_index	16.25
PMC4752947.txt	flesch_reading_ease	35.41
PMC4752947.txt	gunning_fog	15.96
PMC4752947.txt	automated_readability_index	19.8
PMC4752947.txt	coleman_liau_index	15.73
PMC4752948.txt	flesch_reading_ease	34.19
PMC4752948.txt	gunning_fog	15.89
PMC4752948.txt	automated_readability_index	19.3
PMC4752948.txt	coleman_liau_index	14.05
PMC4752949.txt	flesch_reading_ease	16.9
PMC4752949.txt	gunning_fog	20.48
PMC4752949.txt	automated_readability_index	24.9
PMC4752949.txt	coleman_liau_index	16.31
PMC4752950.txt	flesch_reading_ease	32.06
PMC4752950.txt	gunning_fog	18.51
PMC4752950.txt	automated_readability_index	20.6
PMC4752950.txt	coleman_liau_index	14.81
PMC4752951.txt	flesch_reading_ease	16.56
PMC4752951.txt	gunning_fog	18.77
PMC4752951.txt	automated_readability_index	21.7
PMC4752951.txt	coleman_liau_index	17.36
PMC4752952.txt	flesch_reading_ease	23.94
PMC4752952.txt	gunning_fog	20.75
PMC4752952.txt	automated_readability_index	26.0
PMC4752952.txt	coleman_liau_index	16.31
PMC4752953.txt	flesch_reading_ease	10.33
PMC4752953.txt	gunning_fog	18.69
PMC4752953.txt	automated_readability_index	20.7
PMC4752953.txt	coleman_liau_index	17.64
PMC4752954.txt	flesch_reading_ease	26.14
PMC4752954.txt	gunning_fog	17.03
PMC4752954.txt	automated_readability_index	20.2
PMC4752954.txt	coleman_liau_index	15.73
PMC4752955.txt	flesch_reading_ease	41.5
PMC4752955.txt	gunning_fog	13.95
PMC4752955.txt	automated_readability_index	15.9
PMC4752955.txt	coleman_liau_index	15.03
PMC4754293.txt	flesch_reading_ease	28.37
PMC4754293.txt	gunning_fog	14.97
PMC4754293.txt	automated_readability_index	19.6
PMC4754293.txt	coleman_liau_index	16.25
PMC4754294.txt	flesch_reading_ease	21.87
PMC4754294.txt	gunning_fog	19.22
PMC4754294.txt	automated_readability_index	24.2
PMC4754294.txt	coleman_liau_index	17.65
PMC4754295.txt	flesch_reading_ease	30.64
PMC4754295.txt	gunning_fog	19.17
PMC4754295.txt	automated_readability_index	21.8
PMC4754295.txt	coleman_liau_index	15.91
PMC4754296.txt	flesch_reading_ease	4.99
PMC4754296.txt	gunning_fog	22.6
PMC4754296.txt	automated_readability_index	27.9
PMC4754296.txt	coleman_liau_index	17.94
PMC4754297.txt	flesch_reading_ease	27.35
PMC4754297.txt	gunning_fog	18.48
